ID,Kategoria,Wartosc,Data
40,A,828.8833408491945,2025-01-01 00:40:00
41,A,148.1993673997669,2025-01-01 00:41:00
42,D,217.6062624596202,2025-01-01 00:42:00
43,D,168.70427819398725,2025-01-01 00:43:00
44,C,341.42255658689004,2025-01-01 00:44:00
45,A,911.8148203568151,2025-01-01 00:45:00
46,C,881.3648176822385,2025-01-01 00:46:00
47,C,206.28209615153492,2025-01-01 00:47:00
48,A,548.1757871287568,2025-01-01 00:48:00
49,B,798.4478850717376,2025-01-01 00:49:00
50,A,889.6266506377694,2025-01-01 00:50:00
51,A,373.62170775054017,2025-01-01 00:51:00
52,D,306.7477463516213,2025-01-01 00:52:00
53,A,509.0996237647044,2025-01-01 00:53:00
54,A,206.84604928541884,2025-01-01 00:54:00
55,B,1.7009963234000391,2025-01-01 00:55:00
56,B,396.21029995972424,2025-01-01 00:56:00
57,C,486.39329003121634,2025-01-01 00:57:00
58,A,12.627155862424466,2025-01-01 00:58:00
59,A,592.0639129351395,2025-01-01 00:59:00
60,C,766.6053808123462,2025-01-01 01:00:00
61,A,196.76056365099026,2025-01-01 01:01:00
62,D,583.5307169079764,2025-01-01 01:02:00
63,B,434.04674158598755,2025-01-01 01:03:00
64,D,244.12896912879634,2025-01-01 01:04:00
65,A,398.4868762361764,2025-01-01 01:05:00
66,C,462.4579784188153,2025-01-01 01:06:00
67,A,868.7042555721202,2025-01-01 01:07:00
68,A,125.64650169536218,2025-01-01 01:08:00
69,B,785.8365793290394,2025-01-01 01:09:00
70,D,385.83239010283245,2025-01-01 01:10:00
71,B,72.44437812926807,2025-01-01 01:11:00
72,B,823.5042004881291,2025-01-01 01:12:00
73,A,674.7079731796956,2025-01-01 01:13:00
74,D,793.7083530414709,2025-01-01 01:14:00
75,C,975.2242049484735,2025-01-01 01:15:00
76,A,828.6202255251333,2025-01-01 01:16:00
77,A,135.97780099815193,2025-01-01 01:17:00
78,C,763.0342200187894,2025-01-01 01:18:00
79,D,947.1309370509209,2025-01-01 01:19:00
80,B,498.31632363855704,2025-01-01 01:20:00
81,D,31.644014437535507,2025-01-01 01:21:00
82,D,349.94671345918647,2025-01-01 01:22:00
83,D,717.6306600811714,2025-01-01 01:23:00
84,A,482.3228291340864,2025-01-01 01:24:00
85,B,576.7205161509175,2025-01-01 01:25:00
86,B,859.0910670881193,2025-01-01 01:26:00
87,A,427.4599457013444,2025-01-01 01:27:00
88,B,147.5419907523523,2025-01-01 01:28:00
89,D,665.5624640559761,2025-01-01 01:29:00
90,B,674.2233132183243,2025-01-01 01:30:00
91,D,548.7126462285682,2025-01-01 01:31:00
92,C,925.2410716041144,2025-01-01 01:32:00
93,B,430.66459358892115,2025-01-01 01:33:00
94,C,261.63579209449426,2025-01-01 01:34:00
95,D,928.835049928525,2025-01-01 01:35:00
96,A,821.9797095290368,2025-01-01 01:36:00
97,B,827.0950947678917,2025-01-01 01:37:00
98,C,221.36894893823333,2025-01-01 01:38:00
99,D,360.6917734108036,2025-01-01 01:39:00
100,A,14.033791556313346,2025-01-01 01:40:00
101,D,183.73438434669842,2025-01-01 01:41:00
102,D,976.5269212678221,2025-01-01 01:42:00
103,C,317.8102461787252,2025-01-01 01:43:00
104,D,849.2640107108405,2025-01-01 01:44:00
105,B,899.7217683581018,2025-01-01 01:45:00
106,A,846.2157922074001,2025-01-01 01:46:00
107,D,759.8050941040673,2025-01-01 01:47:00
108,A,823.0897028948586,2025-01-01 01:48:00
109,C,735.8301193828722,2025-01-01 01:49:00
110,C,751.1503377246693,2025-01-01 01:50:00
111,C,302.66789871389767,2025-01-01 01:51:00
112,B,303.3842367880719,2025-01-01 01:52:00
113,D,738.9890793895519,2025-01-01 01:53:00
114,A,32.991245648197776,2025-01-01 01:54:00
115,C,245.5113234646147,2025-01-01 01:55:00
116,C,780.7684153944011,2025-01-01 01:56:00
117,D,393.22543963944054,2025-01-01 01:57:00
118,C,908.1505587318169,2025-01-01 01:58:00
119,A,65.7064618284452,2025-01-01 01:59:00
120,A,286.25869597060694,2025-01-01 02:00:00
121,A,852.3150938341757,2025-01-01 02:01:00
122,B,246.304890789251,2025-01-01 02:02:00
123,A,346.2565610527938,2025-01-01 02:03:00
124,D,843.9041555985127,2025-01-01 02:04:00
125,D,421.81492538907105,2025-01-01 02:05:00
126,A,28.178055780822774,2025-01-01 02:06:00
127,D,370.7472920237772,2025-01-01 02:07:00
128,D,336.40881212315145,2025-01-01 02:08:00
129,A,427.6495895444258,2025-01-01 02:09:00
130,C,457.5955079040471,2025-01-01 02:10:00
131,A,224.90704896266735,2025-01-01 02:11:00
132,B,90.8436752955013,2025-01-01 02:12:00
133,A,32.45990680297795,2025-01-01 02:13:00
134,A,476.55013756085583,2025-01-01 02:14:00
135,C,508.91579916363514,2025-01-01 02:15:00
136,A,659.4094458362197,2025-01-01 02:16:00
137,B,996.144932651433,2025-01-01 02:17:00
138,B,120.95351040520019,2025-01-01 02:18:00
139,D,456.4003506106099,2025-01-01 02:19:00
140,A,205.17267262698624,2025-01-01 02:20:00
141,D,9.21811534134287,2025-01-01 02:21:00
142,A,453.46594009388184,2025-01-01 02:22:00
143,C,689.2741560065969,2025-01-01 02:23:00
144,D,759.4984504691722,2025-01-01 02:24:00
145,B,362.69151910764987,2025-01-01 02:25:00
146,A,224.0200371862554,2025-01-01 02:26:00
147,A,319.1712789746867,2025-01-01 02:27:00
148,B,159.4562100696668,2025-01-01 02:28:00
149,C,34.59198955695075,2025-01-01 02:29:00
150,D,556.6330546309946,2025-01-01 02:30:00
151,C,114.96145060811847,2025-01-01 02:31:00
152,A,912.3621547615535,2025-01-01 02:32:00
153,A,620.0962140121317,2025-01-01 02:33:00
154,C,607.6131285673131,2025-01-01 02:34:00
155,C,4.614178465623953,2025-01-01 02:35:00
156,C,20.659018994236945,2025-01-01 02:36:00
157,B,754.0518667070875,2025-01-01 02:37:00
158,B,667.7729746419293,2025-01-01 02:38:00
159,A,633.90415246189,2025-01-01 02:39:00
160,D,689.5666335798369,2025-01-01 02:40:00
161,A,35.60520034935677,2025-01-01 02:41:00
162,B,225.63501914216243,2025-01-01 02:42:00
163,D,183.14922031678373,2025-01-01 02:43:00
164,C,789.2005307841067,2025-01-01 02:44:00
165,C,539.2001890888356,2025-01-01 02:45:00
166,B,321.8821953083659,2025-01-01 02:46:00
167,A,65.97976412654072,2025-01-01 02:47:00
168,B,730.9853855967153,2025-01-01 02:48:00
169,B,207.57836346929304,2025-01-01 02:49:00
170,D,435.7608247822812,2025-01-01 02:50:00
171,B,479.8801496091438,2025-01-01 02:51:00
172,A,736.3858602491194,2025-01-01 02:52:00
173,D,770.9900859441791,2025-01-01 02:53:00
174,D,938.9119827471927,2025-01-01 02:54:00
175,B,398.859238563703,2025-01-01 02:55:00
176,D,512.0978135704869,2025-01-01 02:56:00
177,D,336.8342130602361,2025-01-01 02:57:00
178,B,23.476520270392932,2025-01-01 02:58:00
179,C,232.64262555891813,2025-01-01 02:59:00
180,D,29.866660097032984,2025-01-01 03:00:00
181,B,289.47702742539497,2025-01-01 03:01:00
182,B,485.2592888983587,2025-01-01 03:02:00
183,C,146.42304402903662,2025-01-01 03:03:00
184,D,730.6004058035884,2025-01-01 03:04:00
185,D,88.49791453125333,2025-01-01 03:05:00
186,A,850.0047080481555,2025-01-01 03:06:00
187,A,718.9052628432203,2025-01-01 03:07:00
188,D,362.5632050557802,2025-01-01 03:08:00
189,B,125.10348739205112,2025-01-01 03:09:00
190,D,454.29315204953,2025-01-01 03:10:00
191,B,202.0466633190785,2025-01-01 03:11:00
192,C,690.7621553582568,2025-01-01 03:12:00
193,C,706.7548667858657,2025-01-01 03:13:00
194,A,44.56599092594771,2025-01-01 03:14:00
195,A,808.2212971071909,2025-01-01 03:15:00
196,B,802.2869670528721,2025-01-01 03:16:00
197,C,826.442441148958,2025-01-01 03:17:00
198,D,523.3660471643963,2025-01-01 03:18:00
199,C,624.0310429860148,2025-01-01 03:19:00
200,D,0.06176176546968115,2025-01-01 03:20:00
201,B,733.3292816989483,2025-01-01 03:21:00
202,A,27.41401634976681,2025-01-01 03:22:00
203,D,772.6145967412474,2025-01-01 03:23:00
204,A,121.47040189615687,2025-01-01 03:24:00
205,B,26.631508776628344,2025-01-01 03:25:00
206,A,44.35421127524597,2025-01-01 03:26:00
207,A,111.16526798460058,2025-01-01 03:27:00
208,D,544.7804867686518,2025-01-01 03:28:00
209,D,562.1171496701643,2025-01-01 03:29:00
210,C,94.15310467887528,2025-01-01 03:30:00
211,D,83.87460983614258,2025-01-01 03:31:00
212,A,598.5378346019535,2025-01-01 03:32:00
213,C,685.4433529166974,2025-01-01 03:33:00
214,A,803.9023383823644,2025-01-01 03:34:00
215,A,459.959020257092,2025-01-01 03:35:00
216,C,977.5296791727376,2025-01-01 03:36:00
217,D,601.0682435995302,2025-01-01 03:37:00
218,C,483.9556786840262,2025-01-01 03:38:00
219,A,843.3157992008669,2025-01-01 03:39:00
220,D,267.13733344406234,2025-01-01 03:40:00
221,C,336.7959544940623,2025-01-01 03:41:00
222,B,576.5244790549065,2025-01-01 03:42:00
223,A,777.021351744676,2025-01-01 03:43:00
224,D,923.7549276522362,2025-01-01 03:44:00
225,A,470.35477243611376,2025-01-01 03:45:00
226,A,241.4941523373827,2025-01-01 03:46:00
227,A,163.45029826203606,2025-01-01 03:47:00
228,D,634.6590280716832,2025-01-01 03:48:00
229,D,90.3978223533446,2025-01-01 03:49:00
230,C,66.01833630705079,2025-01-01 03:50:00
231,B,454.90764857064113,2025-01-01 03:51:00
232,D,144.35714989557326,2025-01-01 03:52:00
233,A,458.11962782398155,2025-01-01 03:53:00
234,B,14.667216302853504,2025-01-01 03:54:00
235,A,939.652528735971,2025-01-01 03:55:00
236,B,915.341584665169,2025-01-01 03:56:00
237,D,121.5783865033594,2025-01-01 03:57:00
238,A,704.910654714705,2025-01-01 03:58:00
239,B,477.77032285484734,2025-01-01 03:59:00
240,B,347.032198514292,2025-01-01 04:00:00
241,A,348.54235439387935,2025-01-01 04:01:00
242,C,419.5779019874835,2025-01-01 04:02:00
243,C,6.181942364983484,2025-01-01 04:03:00
244,A,832.6138113253741,2025-01-01 04:04:00
245,D,73.97163815736741,2025-01-01 04:05:00
246,D,234.4527472656589,2025-01-01 04:06:00
247,C,385.5969138268137,2025-01-01 04:07:00
248,C,956.9366715352387,2025-01-01 04:08:00
249,D,996.3210085611715,2025-01-01 04:09:00
250,B,186.56214036684193,2025-01-01 04:10:00
251,A,499.10823904388235,2025-01-01 04:11:00
252,A,729.4058095333249,2025-01-01 04:12:00
253,B,789.162001834047,2025-01-01 04:13:00
254,D,561.5859662997273,2025-01-01 04:14:00
255,C,2.427793900979247,2025-01-01 04:15:00
256,C,737.4892756506908,2025-01-01 04:16:00
257,C,689.4068116494955,2025-01-01 04:17:00
258,D,810.4019800230673,2025-01-01 04:18:00
259,D,484.41964527565875,2025-01-01 04:19:00
260,A,995.7695915333602,2025-01-01 04:20:00
261,C,617.9012875792481,2025-01-01 04:21:00
262,D,655.3690369515982,2025-01-01 04:22:00
263,C,16.384037778729656,2025-01-01 04:23:00
264,B,466.26296466271987,2025-01-01 04:24:00
265,A,289.03151122730276,2025-01-01 04:25:00
266,D,906.3306858707185,2025-01-01 04:26:00
267,C,444.1642030163251,2025-01-01 04:27:00
268,C,400.9387399154529,2025-01-01 04:28:00
269,B,288.9022918878263,2025-01-01 04:29:00
270,C,575.6435047955857,2025-01-01 04:30:00
271,A,424.61089399640474,2025-01-01 04:31:00
272,D,628.5674375929923,2025-01-01 04:32:00
273,D,869.2883725383249,2025-01-01 04:33:00
274,A,30.572450936908858,2025-01-01 04:34:00
275,B,263.22315642647277,2025-01-01 04:35:00
276,D,180.65347478054207,2025-01-01 04:36:00
277,B,20.950036651720126,2025-01-01 04:37:00
278,B,470.3843146970231,2025-01-01 04:38:00
279,C,588.2888470403069,2025-01-01 04:39:00
280,B,64.18052969605893,2025-01-01 04:40:00
281,D,949.4207990472556,2025-01-01 04:41:00
282,C,801.679460392917,2025-01-01 04:42:00
283,D,518.9035758036862,2025-01-01 04:43:00
284,A,903.4934746297164,2025-01-01 04:44:00
285,D,317.16628358344326,2025-01-01 04:45:00
286,B,902.9208730323107,2025-01-01 04:46:00
287,C,296.06479647768714,2025-01-01 04:47:00
288,B,623.5597437463067,2025-01-01 04:48:00
289,B,232.72775916061627,2025-01-01 04:49:00
290,C,545.2442514692643,2025-01-01 04:50:00
291,A,967.9884636786956,2025-01-01 04:51:00
292,B,635.1821154839347,2025-01-01 04:52:00
293,C,230.02157573708138,2025-01-01 04:53:00
294,D,591.2601947449457,2025-01-01 04:54:00
295,B,0.6176987887090979,2025-01-01 04:55:00
296,A,258.48320994732,2025-01-01 04:56:00
297,A,760.684119215965,2025-01-01 04:57:00
298,D,508.32021418030735,2025-01-01 04:58:00
299,C,44.359762006756284,2025-01-01 04:59:00
300,B,964.7085700050563,2025-01-01 05:00:00
301,A,607.4043574319243,2025-01-01 05:01:00
302,C,189.39808412652116,2025-01-01 05:02:00
303,D,91.18510822171244,2025-01-01 05:03:00
304,B,376.61386866939375,2025-01-01 05:04:00
305,A,70.31754371440057,2025-01-01 05:05:00
306,B,302.7053772749586,2025-01-01 05:06:00
307,A,650.2255363889653,2025-01-01 05:07:00
308,B,943.2311320623504,2025-01-01 05:08:00
309,C,87.42409781471483,2025-01-01 05:09:00
310,C,397.4175033228101,2025-01-01 05:10:00
311,A,833.164416365215,2025-01-01 05:11:00
312,D,306.94543276928255,2025-01-01 05:12:00
313,C,688.0490894787538,2025-01-01 05:13:00
314,A,220.80135933565737,2025-01-01 05:14:00
315,A,410.80801824276637,2025-01-01 05:15:00
316,D,984.6181320264004,2025-01-01 05:16:00
317,C,186.3953520075372,2025-01-01 05:17:00
318,B,61.552474199465856,2025-01-01 05:18:00
319,D,701.704606413476,2025-01-01 05:19:00
320,D,438.19057287286034,2025-01-01 05:20:00
321,B,944.0724777303839,2025-01-01 05:21:00
322,A,393.47170168566447,2025-01-01 05:22:00
323,A,701.4297517402013,2025-01-01 05:23:00
324,D,357.91229788976,2025-01-01 05:24:00
325,D,244.46880607340583,2025-01-01 05:25:00
326,B,923.1217876431359,2025-01-01 05:26:00
327,D,626.7934309808226,2025-01-01 05:27:00
328,B,880.2828352313172,2025-01-01 05:28:00
329,B,738.8212173680581,2025-01-01 05:29:00
330,A,814.5103490247616,2025-01-01 05:30:00
331,B,532.8081708450701,2025-01-01 05:31:00
332,C,958.6123357694947,2025-01-01 05:32:00
333,B,166.84740583964341,2025-01-01 05:33:00
334,C,671.4473803500367,2025-01-01 05:34:00
335,B,211.02991533439763,2025-01-01 05:35:00
336,A,656.565839666916,2025-01-01 05:36:00
337,D,471.06210378433457,2025-01-01 05:37:00
338,A,333.77410580712916,2025-01-01 05:38:00
339,C,976.9710406521995,2025-01-01 05:39:00
340,B,316.95109333935744,2025-01-01 05:40:00
341,B,540.655878844842,2025-01-01 05:41:00
342,B,186.2534888564542,2025-01-01 05:42:00
343,B,725.6458304048392,2025-01-01 05:43:00
344,C,971.5734022062575,2025-01-01 05:44:00
345,A,387.00478888803116,2025-01-01 05:45:00
346,D,981.2203723233124,2025-01-01 05:46:00
347,B,613.5615774310506,2025-01-01 05:47:00
348,C,383.3360274849824,2025-01-01 05:48:00
349,B,701.8394290966579,2025-01-01 05:49:00
350,B,468.72319344123514,2025-01-01 05:50:00
351,B,69.70219584438364,2025-01-01 05:51:00
352,C,361.6172106502147,2025-01-01 05:52:00
353,B,206.88130573042974,2025-01-01 05:53:00
354,A,724.3269763953506,2025-01-01 05:54:00
355,C,420.4095598198854,2025-01-01 05:55:00
356,D,796.7576724925797,2025-01-01 05:56:00
357,A,281.86429189008663,2025-01-01 05:57:00
358,D,529.9348797546504,2025-01-01 05:58:00
359,D,326.5479968773193,2025-01-01 05:59:00
360,A,837.9898784244555,2025-01-01 06:00:00
361,C,133.39198123030195,2025-01-01 06:01:00
362,C,821.3459093837764,2025-01-01 06:02:00
363,A,100.39543811958363,2025-01-01 06:03:00
364,C,147.08478255060552,2025-01-01 06:04:00
365,D,512.7192706935157,2025-01-01 06:05:00
366,C,898.396042954854,2025-01-01 06:06:00
367,A,150.7770622718255,2025-01-01 06:07:00
368,C,528.1008138225715,2025-01-01 06:08:00
369,D,947.144908587226,2025-01-01 06:09:00
370,B,442.17645035638265,2025-01-01 06:10:00
371,C,617.3690205650903,2025-01-01 06:11:00
372,C,133.9900416708878,2025-01-01 06:12:00
373,D,191.9299659621645,2025-01-01 06:13:00
374,A,997.8292462769592,2025-01-01 06:14:00
375,C,177.94687224696594,2025-01-01 06:15:00
376,A,957.3788567607527,2025-01-01 06:16:00
377,D,104.175258854865,2025-01-01 06:17:00
378,D,509.82413975906405,2025-01-01 06:18:00
379,C,623.3505170245393,2025-01-01 06:19:00
380,A,736.7251986292964,2025-01-01 06:20:00
381,C,799.2875884384015,2025-01-01 06:21:00
382,B,648.9331347861,2025-01-01 06:22:00
383,A,46.96565118472185,2025-01-01 06:23:00
384,C,36.7785509456926,2025-01-01 06:24:00
385,C,251.0930039014504,2025-01-01 06:25:00
386,B,483.29129302895666,2025-01-01 06:26:00
387,A,153.5072982004302,2025-01-01 06:27:00
388,A,740.7893140426671,2025-01-01 06:28:00
389,D,814.8634342800184,2025-01-01 06:29:00
390,D,691.8063335576371,2025-01-01 06:30:00
391,B,214.53636023264522,2025-01-01 06:31:00
392,A,373.25824823162844,2025-01-01 06:32:00
393,C,725.30904974183,2025-01-01 06:33:00
394,B,884.181404694252,2025-01-01 06:34:00
395,C,523.6176777120639,2025-01-01 06:35:00
396,C,434.29236233907665,2025-01-01 06:36:00
397,B,838.3120138270048,2025-01-01 06:37:00
398,C,546.7005513606786,2025-01-01 06:38:00
399,C,589.539355741449,2025-01-01 06:39:00
400,B,889.9024807501933,2025-01-01 06:40:00
401,B,264.81807439425444,2025-01-01 06:41:00
402,C,103.01481782861744,2025-01-01 06:42:00
403,A,954.6606590310228,2025-01-01 06:43:00
404,D,807.776283602555,2025-01-01 06:44:00
405,B,296.47381783320157,2025-01-01 06:45:00
406,C,92.6815812579328,2025-01-01 06:46:00
407,B,861.2811230416378,2025-01-01 06:47:00
408,D,618.2763361642261,2025-01-01 06:48:00
409,B,437.9092771828265,2025-01-01 06:49:00
410,A,73.18981877053965,2025-01-01 06:50:00
411,A,41.57594903596073,2025-01-01 06:51:00
412,D,800.3262244347661,2025-01-01 06:52:00
413,B,51.685793018865446,2025-01-01 06:53:00
414,C,658.2033332096299,2025-01-01 06:54:00
415,B,68.105285404234,2025-01-01 06:55:00
416,A,98.75567659875395,2025-01-01 06:56:00
417,B,851.6529489354157,2025-01-01 06:57:00
418,C,744.8139401767274,2025-01-01 06:58:00
419,C,658.5494815493189,2025-01-01 06:59:00
420,D,483.0499089647269,2025-01-01 07:00:00
421,B,824.4163059896016,2025-01-01 07:01:00
422,B,867.0261637391811,2025-01-01 07:02:00
423,B,41.191856985753674,2025-01-01 07:03:00
424,A,531.8444250324984,2025-01-01 07:04:00
425,C,201.7014191115687,2025-01-01 07:05:00
426,C,956.3338065048216,2025-01-01 07:06:00
427,B,481.48254629122175,2025-01-01 07:07:00
428,C,366.9994930578317,2025-01-01 07:08:00
429,C,674.9120360197669,2025-01-01 07:09:00
430,A,819.8347635751554,2025-01-01 07:10:00
431,A,7.826428889941228,2025-01-01 07:11:00
432,A,454.75579876158724,2025-01-01 07:12:00
433,D,321.0804074444566,2025-01-01 07:13:00
434,A,224.0975884676486,2025-01-01 07:14:00
435,C,695.8152144410728,2025-01-01 07:15:00
436,D,123.01393757095025,2025-01-01 07:16:00
437,A,28.89755552027107,2025-01-01 07:17:00
438,D,586.1277006510068,2025-01-01 07:18:00
439,D,338.4211415251733,2025-01-01 07:19:00
440,C,11.898400384163676,2025-01-01 07:20:00
441,D,534.0399219018221,2025-01-01 07:21:00
442,A,547.3094905204754,2025-01-01 07:22:00
443,D,367.5306547031532,2025-01-01 07:23:00
444,A,295.86129942497297,2025-01-01 07:24:00
445,D,375.2586844565452,2025-01-01 07:25:00
446,B,437.06632785045684,2025-01-01 07:26:00
447,A,738.0484197628422,2025-01-01 07:27:00
448,D,200.48024707830913,2025-01-01 07:28:00
449,D,862.1243811705685,2025-01-01 07:29:00
450,D,380.1956406777944,2025-01-01 07:30:00
451,C,669.6545844134309,2025-01-01 07:31:00
452,C,324.7568101905837,2025-01-01 07:32:00
453,B,37.56589912417485,2025-01-01 07:33:00
454,A,524.6306673522173,2025-01-01 07:34:00
455,A,135.18747445903446,2025-01-01 07:35:00
456,A,59.51036182799774,2025-01-01 07:36:00
457,A,366.2007604695401,2025-01-01 07:37:00
458,B,948.9728649573053,2025-01-01 07:38:00
459,B,893.102909789363,2025-01-01 07:39:00
460,C,778.4285088747826,2025-01-01 07:40:00
461,D,388.8889358039569,2025-01-01 07:41:00
462,C,940.3526326886683,2025-01-01 07:42:00
463,C,557.0200022683234,2025-01-01 07:43:00
464,A,376.9044472007702,2025-01-01 07:44:00
465,B,178.06376469312468,2025-01-01 07:45:00
466,B,40.23257455112494,2025-01-01 07:46:00
467,B,446.77348976588803,2025-01-01 07:47:00
468,C,411.0282299263056,2025-01-01 07:48:00
469,D,404.54513419436955,2025-01-01 07:49:00
470,B,372.1170608547837,2025-01-01 07:50:00
471,D,551.202356965119,2025-01-01 07:51:00
472,C,337.2569123189476,2025-01-01 07:52:00
473,B,89.46746818896389,2025-01-01 07:53:00
474,A,443.94848142392595,2025-01-01 07:54:00
475,D,623.2084301905467,2025-01-01 07:55:00
476,A,189.9674719641068,2025-01-01 07:56:00
477,A,186.46175425243493,2025-01-01 07:57:00
478,C,894.2059726428691,2025-01-01 07:58:00
479,C,37.96840804286972,2025-01-01 07:59:00
480,C,490.21040914456984,2025-01-01 08:00:00
481,A,421.55572844221723,2025-01-01 08:01:00
482,A,451.42234071993414,2025-01-01 08:02:00
483,C,234.88996750335045,2025-01-01 08:03:00
484,C,915.3948524836934,2025-01-01 08:04:00
485,D,423.30176096786255,2025-01-01 08:05:00
486,D,86.20281182362788,2025-01-01 08:06:00
487,A,105.94064595506725,2025-01-01 08:07:00
488,A,194.7112163923278,2025-01-01 08:08:00
489,C,775.7613056289891,2025-01-01 08:09:00
490,B,332.91410255087396,2025-01-01 08:10:00
491,A,900.1234771035745,2025-01-01 08:11:00
492,C,187.12719750506258,2025-01-01 08:12:00
493,C,394.9691223404105,2025-01-01 08:13:00
494,B,924.4799640587119,2025-01-01 08:14:00
495,C,318.2337097781768,2025-01-01 08:15:00
496,D,483.4987108684361,2025-01-01 08:16:00
497,A,996.1149418135616,2025-01-01 08:17:00
498,D,654.3902866727116,2025-01-01 08:18:00
499,D,112.979178411299,2025-01-01 08:19:00
500,A,850.0477605913173,2025-01-01 08:20:00
501,D,611.2755015404292,2025-01-01 08:21:00
502,A,317.5472089432709,2025-01-01 08:22:00
503,D,354.4430464679046,2025-01-01 08:23:00
504,D,12.13955743582873,2025-01-01 08:24:00
505,B,473.11562076981204,2025-01-01 08:25:00
506,B,968.0316848913393,2025-01-01 08:26:00
507,D,277.7000663022663,2025-01-01 08:27:00
508,A,264.56840052894546,2025-01-01 08:28:00
509,B,840.3086034412063,2025-01-01 08:29:00
510,C,909.1742739741975,2025-01-01 08:30:00
511,B,98.16795184251991,2025-01-01 08:31:00
512,C,222.2102006849166,2025-01-01 08:32:00
513,A,548.2293701759709,2025-01-01 08:33:00
514,C,123.47115823852961,2025-01-01 08:34:00
515,B,930.209016231356,2025-01-01 08:35:00
516,C,552.6555417689724,2025-01-01 08:36:00
517,D,446.8545982152724,2025-01-01 08:37:00
518,A,789.5144397832828,2025-01-01 08:38:00
519,B,967.1981698677153,2025-01-01 08:39:00
520,C,966.217541994069,2025-01-01 08:40:00
521,D,444.1285623443421,2025-01-01 08:41:00
522,D,404.89897057331837,2025-01-01 08:42:00
523,D,333.224532331278,2025-01-01 08:43:00
524,D,377.16736890322863,2025-01-01 08:44:00
525,D,217.66530744726342,2025-01-01 08:45:00
526,C,591.0295953360322,2025-01-01 08:46:00
527,D,680.4824359013858,2025-01-01 08:47:00
528,A,218.94182040840616,2025-01-01 08:48:00
529,A,506.7016318596992,2025-01-01 08:49:00
530,C,933.8325576743509,2025-01-01 08:50:00
531,D,144.0357435767673,2025-01-01 08:51:00
532,A,84.735978982308,2025-01-01 08:52:00
533,C,562.7232635517965,2025-01-01 08:53:00
534,A,138.54119435351853,2025-01-01 08:54:00
535,D,168.27257461181156,2025-01-01 08:55:00
536,A,150.6816643311224,2025-01-01 08:56:00
537,A,561.7340963755538,2025-01-01 08:57:00
538,B,702.2971382349028,2025-01-01 08:58:00
539,B,261.56699577170804,2025-01-01 08:59:00
540,A,48.131313905371506,2025-01-01 09:00:00
541,D,851.2070719687467,2025-01-01 09:01:00
542,A,864.5097430174334,2025-01-01 09:02:00
543,D,770.9666384237037,2025-01-01 09:03:00
544,C,667.3450669136864,2025-01-01 09:04:00
545,B,11.873428983890655,2025-01-01 09:05:00
546,A,194.73281458026892,2025-01-01 09:06:00
547,C,402.3206977486674,2025-01-01 09:07:00
548,C,971.4380821700859,2025-01-01 09:08:00
549,B,39.6837093221577,2025-01-01 09:09:00
550,D,407.61779474360173,2025-01-01 09:10:00
551,B,354.06830094529096,2025-01-01 09:11:00
552,B,380.3619945173278,2025-01-01 09:12:00
553,D,834.2951350364274,2025-01-01 09:13:00
554,B,295.11950566154377,2025-01-01 09:14:00
555,D,161.09860084423843,2025-01-01 09:15:00
556,B,849.6685252466185,2025-01-01 09:16:00
557,B,722.4105412380501,2025-01-01 09:17:00
558,D,872.9366457796242,2025-01-01 09:18:00
559,B,160.3251184116823,2025-01-01 09:19:00
